deal_id,company,industry,segment,deal_value,stage,rep_owner,lead_source,created_date,qualified_date,proposal_date,close_date,expected_close,days_in_stage,probability,weighted_value,last_activity,days_since_activity,follow_up_status,billing_status,billing_amount,billed_amount,billing_discrepancy,notes
D001,Apex Cybersecurity,Technology,Enterprise,217621,Lead,Sarah Mitchell,Outbound - Cold Call,2026-03-06,,,,2026-07-16,101,10,21762,2026-06-12,3,On Track,Not Applicable,0,0,0,
D002,Cascade Health Systems,Healthcare,Mid-Market,24144,Closed Won,James Chen,Inbound - Website,2026-03-14,2026-03-28,2026-04-04,2026-04-29,2026-04-29,0,100,24144,2026-04-29,0,Closed,Reconciled,24144,24144,0,
D003,Northstar Financial,Finance,Enterprise,74561,Qualified,Priya Patel,Outbound - Cold Call,2026-04-05,2026-04-17,,,2026-06-30,59,30,22368,2026-06-07,8,Overdue,Not Applicable,0,0,0,
D004,Greenleaf Organics,Consumer Goods,SMB,22856,Proposal,Sarah Mitchell,Outbound - Cold Call,2026-04-12,2026-04-24,2026-05-07,,2026-06-29,39,60,13713,2026-06-03,12,Overdue,Not Applicable,0,0,0,
D005,Velocity Logistics,Logistics,Mid-Market,60753,Proposal,James Chen,Inbound - Website,2026-05-04,2026-05-09,2026-05-20,,2026-07-20,26,60,36451,2026-06-14,1,On Track,Not Applicable,0,0,0,
D006,Pinnacle Education Group,Education,Enterprise,149595,Lead,Priya Patel,Referral,2026-02-20,,,,2026-07-21,115,10,14959,2026-06-06,9,Overdue,Not Applicable,0,0,0,
D007,Redwood Manufacturing,Manufacturing,Mid-Market,67895,Lead,Sarah Mitchell,Event,2026-04-11,,,,2026-08-02,65,10,6789,2026-06-14,1,On Track,Not Applicable,0,0,0,
D008,Summit Media Group,Media,SMB,7582,Proposal,James Chen,Inbound - Website,2026-02-22,2026-03-07,2026-03-23,,2026-08-04,84,60,4549,2026-06-12,3,On Track,Not Applicable,0,0,0,
D009,Ironclad Insurance,Finance,Enterprise,62012,Closed Won,Priya Patel,Referral,2026-03-02,2026-03-09,2026-03-16,2026-03-30,2026-03-30,0,100,62012,2026-03-30,0,Closed,Discrepancy Found,62012,58399,3613,
D010,Pacific Retail Corp,Retail,Mid-Market,44714,Closed Won,Sarah Mitchell,Referral,2026-04-23,2026-04-28,2026-05-14,2026-06-01,2026-06-01,0,100,44714,2026-06-01,0,Closed,Reconciled,44714,44714,0,
D011,BlueShift Analytics,Technology,SMB,7339,Closed Won,James Chen,Referral,2026-05-18,2026-05-29,2026-06-10,2026-06-22,2026-06-22,0,100,7339,2026-06-22,0,Closed,Reconciled,7339,7339,0,
D012,Horizon Aerospace,Aerospace,Enterprise,217772,Closed Won,Priya Patel,Inbound - Website,2026-05-11,2026-05-24,2026-06-08,2026-06-16,2026-06-16,0,100,217772,2026-06-16,0,Closed,Reconciled,217772,217772,0,
D013,Metro Healthcare Partners,Healthcare,Mid-Market,67759,Qualified,Sarah Mitchell,LinkedIn,2026-05-05,2026-05-09,,,2026-07-12,37,30,20327,2026-06-01,14,Overdue,Not Applicable,0,0,0,
D014,Ember Energy Solutions,Energy,Enterprise,238196,Qualified,James Chen,Event,2026-03-17,2026-03-27,,,2026-07-24,80,30,71458,2026-06-01,14,Overdue,Not Applicable,0,0,0,
D015,Coastal Real Estate Group,Real Estate,SMB,9681,Qualified,Priya Patel,Referral,2026-05-08,2026-05-22,,,2026-08-03,24,30,2904,2026-06-07,8,Overdue,Not Applicable,0,0,0,
D016,Atlas Construction,Construction,Mid-Market,63956,Proposal,Sarah Mitchell,LinkedIn,2026-03-26,2026-04-04,2026-04-20,,2026-07-13,56,60,38373,2026-06-13,2,On Track,Not Applicable,0,0,0,
